period,date,actual_demand,candidate_forecasts,selected_forecast_model,selected_forecast,desired_order,executed_order,inventory,backlog,on_order_pipeline,capacity,switch_event,rate_limit_activation,governance_binding,period_cost,cumulative_cost,policy
21,2016-04-18,42.0,"{""exponential_smoothing"": 30.220073625679927, ""moving_average"": 23.321428571428573, ""naive_last_value"": 0.0, ""seasonal_naive"": 12.0}",simple_ensemble,16.385375549277125,670.2105586054785,1.25,0.0,678.75,2.5,1.25,0.0,,False,3393.75,29683.3625,simple
22,2016-04-19,39.0,"{""exponential_smoothing"": 33.75405153797595, ""moving_average"": 24.821428571428573, ""naive_last_value"": 42.0, ""seasonal_naive"": 1.0}",simple_ensemble,25.39387002735113,724.8447820476698,1.25,0.0,716.5,2.5,1.25,0.0,,False,3582.5,33265.8625,simple
23,2016-04-20,6.0,"{""exponential_smoothing"": 35.32783607658316, ""moving_average"": 26.214285714285715, ""naive_last_value"": 39.0, ""seasonal_naive"": 3.0}",simple_ensemble,25.88553044771722,782.0326948667378,1.25,0.0,721.25,2.5,1.25,0.0,,False,3606.25,36872.1125,simple
24,2016-04-21,16.0,"{""exponential_smoothing"": 26.52948525360821, ""moving_average"": 26.428571428571427, ""naive_last_value"": 6.0, ""seasonal_naive"": 43.0}",simple_ensemble,25.489514170544908,795.2185425116347,1.25,0.0,736.0,2.5,1.25,0.0,,False,3680.0,40552.1125,simple
25,2016-04-22,24.0,"{""exponential_smoothing"": 23.370639677525748, ""moving_average"": 27.0, ""naive_last_value"": 16.0, ""seasonal_naive"": 121.0}",simple_ensemble,46.84265991938143,840.5559595162886,1.25,0.0,758.75,2.5,1.25,0.0,,False,3793.75,44345.8625,simple
26,2016-04-23,58.0,"{""exponential_smoothing"": 23.559447774268023, ""moving_average"": 27.857142857142858, ""naive_last_value"": 24.0, ""seasonal_naive"": 5.0}",simple_ensemble,20.10414765785272,820.4835757097732,1.25,0.0,815.5,2.5,1.25,0.0,,False,4077.5,48423.3625,simple
27,2016-04-24,42.0,"{""exponential_smoothing"": 33.891613441987616, ""moving_average"": 29.928571428571427, ""naive_last_value"": 58.0, ""seasonal_naive"": 0.0}",simple_ensemble,30.45504621763976,902.9270059936824,1.25,0.0,856.25,2.5,1.25,0.0,,False,4281.25,52704.6125,simple
0,2016-03-28,0.0,"{""exponential_smoothing"": 6.683413227609913e-09, ""moving_average"": 0.0, ""naive_last_value"": 0.0, ""seasonal_naive"": 0.0}",seasonal_naive,0.0,0.0,0.5,3.0,0.0,0.5,1.25,0.0,,False,3.025,3.025,approximate_dp
1,2016-03-29,0.0,"{""exponential_smoothing"": 4.6783892593269385e-09, ""moving_average"": 0.0, ""naive_last_value"": 0.0, ""seasonal_naive"": 0.0}",seasonal_naive,0.0,0.0,0.0,3.0,0.0,0.5,1.25,0.0,,False,3.025,6.05,approximate_dp
2,2016-03-30,0.0,"{""exponential_smoothing"": 3.2748724815288566e-09, ""moving_average"": 0.0, ""naive_last_value"": 0.0, ""seasonal_naive"": 0.0}",seasonal_naive,0.0,0.0,0.0,3.5,0.0,0.0,1.25,0.0,,False,3.5,9.55,approximate_dp
3,2016-03-31,0.0,"{""exponential_smoothing"": 2.2924107370701994e-09, ""moving_average"": 0.0, ""naive_last_value"": 0.0, ""seasonal_naive"": 0.0}",seasonal_naive,0.0,0.0,0.0,3.5,0.0,0.0,1.25,0.0,,False,3.5,13.05,approximate_dp
4,2016-04-01,0.0,"{""exponential_smoothing"": 1.6046875159491395e-09, ""moving_average"": 0.0, ""naive_last_value"": 0.0, ""seasonal_naive"": 0.0}",seasonal_naive,0.0,0.0,0.0,3.5,0.0,0.0,1.25,0.0,,False,3.5,16.55,approximate_dp
5,2016-04-02,0.0,"{""exponential_smoothing"": 1.1232812611643976e-09, ""moving_average"": 0.0, ""naive_last_value"": 0.0, ""seasonal_naive"": 0.0}",seasonal_naive,0.0,0.0,0.0,3.5,0.0,0.0,1.25,0.0,,False,3.5,20.05,approximate_dp
6,2016-04-03,0.0,"{""exponential_smoothing"": 7.862968828150784e-10, ""moving_average"": 0.0, ""naive_last_value"": 0.0, ""seasonal_naive"": 0.0}",seasonal_naive,0.0,0.0,0.0,3.5,0.0,0.0,1.25,0.0,,False,3.5,23.55,approximate_dp
7,2016-04-04,0.0,"{""exponential_smoothing"": 5.504078179705548e-10, ""moving_average"": 0.0, ""naive_last_value"": 0.0, ""seasonal_naive"": 0.0}",seasonal_naive,0.0,0.0,0.0,3.5,0.0,0.0,1.25,0.0,,False,3.5,27.05,approximate_dp
8,2016-04-05,4.0,"{""exponential_smoothing"": 3.8528547257938836e-10, ""moving_average"": 0.0, ""naive_last_value"": 0.0, ""seasonal_naive"": 0.0}",seasonal_naive,0.0,0.0,0.0,0.0,0.5,0.0,1.25,0.0,,False,2.5,29.55,approximate_dp
9,2016-04-06,75.0,"{""exponential_smoothing"": 1.2000000002696998, ""moving_average"": 0.14285714285714285, ""naive_last_value"": 4.0, ""seasonal_naive"": 0.0}",seasonal_naive,0.0,0.5,0.5,0.0,75.5,0.5,1.25,0.0,,False,377.525,407.075,approximate_dp
10,2016-04-07,128.0,"{""exponential_smoothing"": 23.34000000018879, ""moving_average"": 2.8214285714285716, ""naive_last_value"": 75.0, ""seasonal_naive"": 0.0}",seasonal_naive,0.0,75.0,1.0,0.0,203.5,1.5,1.25,0.0,,False,1017.525,1424.6,approximate_dp
11,2016-04-08,87.0,"{""exponential_smoothing"": 54.738000000132146, ""moving_average"": 7.392857142857143, ""naive_last_value"": 128.0, ""seasonal_naive"": 0.0}",seasonal_naive,0.0,202.0,1.25,0.0,290.0,2.25,1.25,0.0,,False,1450.0125,2874.6125,approximate_dp
12,2016-04-09,85.0,"{""exponential_smoothing"": 64.4166000000925, ""moving_average"": 10.5, ""naive_last_value"": 87.0, ""seasonal_naive"": 0.0}",seasonal_naive,0.0,287.75,1.25,0.0,374.0,2.5,1.25,0.0,,False,1870.0,4744.6125,approximate_dp
13,2016-04-10,89.0,"{""exponential_smoothing"": 70.59162000006475, ""moving_average"": 13.535714285714286, ""naive_last_value"": 85.0, ""seasonal_naive"": 0.0}",seasonal_naive,0.0,371.5,1.25,0.0,461.75,2.5,1.25,0.0,,False,2308.75,7053.3625,approximate_dp
14,2016-04-11,12.0,"{""exponential_smoothing"": 76.11413400004533, ""moving_average"": 16.714285714285715, ""naive_last_value"": 89.0, ""seasonal_naive"": 0.0}",seasonal_naive,0.0,459.25,1.25,0.0,472.5,2.5,1.25,0.0,,False,2362.5,9415.8625,approximate_dp
15,2016-04-12,1.0,"{""exponential_smoothing"": 56.879893800031724, ""moving_average"": 17.142857142857142, ""naive_last_value"": 12.0, ""seasonal_naive"": 4.0}",seasonal_naive,4.0,482.0,1.25,0.0,472.25,2.5,1.25,0.0,,False,2361.25,11777.1125,approximate_dp
16,2016-04-13,3.0,"{""exponential_smoothing"": 40.1159256600222, ""moving_average"": 17.178571428571427, ""naive_last_value"": 1.0, ""seasonal_naive"": 75.0}",naive_last_value,1.0,472.75,1.25,0.0,474.0,2.5,1.25,1.0,,False,2370.0,14147.1125,approximate_dp
17,2016-04-14,43.0,"{""exponential_smoothing"": 28.981147962015537, ""moving_average"": 17.285714285714285, ""naive_last_value"": 3.0, ""seasonal_naive"": 128.0}",naive_last_value,3.0,480.5,1.25,0.0,515.75,2.5,1.25,0.0,,False,2578.75,16725.8625,approximate_dp
18,2016-04-15,121.0,"{""exponential_smoothing"": 33.18680357341088, ""moving_average"": 18.821428571428573, ""naive_last_value"": 43.0, ""seasonal_naive"": 87.0}",moving_average,18.821428571428573,569.7142857142858,1.25,0.0,635.5,2.5,1.25,1.0,,False,3177.5,19903.3625,approximate_dp
19,2016-04-16,5.0,"{""exponential_smoothing"": 59.53076250138761, ""moving_average"": 23.142857142857142, ""naive_last_value"": 121.0, ""seasonal_naive"": 85.0}",moving_average,23.142857142857142,702.4285714285714,1.25,0.0,639.25,2.5,1.25,0.0,,False,3196.25,23099.6125,approximate_dp
20,2016-04-17,0.0,"{""exponential_smoothing"": 43.17153375097133, ""moving_average"": 23.321428571428573, ""naive_last_value"": 5.0, ""seasonal_naive"": 89.0}",naive_last_value,5.0,651.75,1.25,0.0,638.0,2.5,1.25,1.0,,False,3190.0,26289.6125,approximate_dp
21,2016-04-18,42.0,"{""exponential_smoothing"": 30.220073625679927, ""moving_average"": 23.321428571428573, ""naive_last_value"": 0.0, ""seasonal_naive"": 12.0}",naive_last_value,0.0,635.5,1.25,0.0,678.75,2.5,1.25,0.0,,False,3393.75,29683.3625,approximate_dp
22,2016-04-19,39.0,"{""exponential_smoothing"": 33.75405153797595, ""moving_average"": 24.821428571428573, ""naive_last_value"": 42.0, ""seasonal_naive"": 1.0}",seasonal_naive,1.0,679.25,1.25,0.0,716.5,2.5,1.25,1.0,,False,3582.5,33265.8625,approximate_dp
23,2016-04-20,6.0,"{""exponential_smoothing"": 35.32783607658316, ""moving_average"": 26.214285714285715, ""naive_last_value"": 39.0, ""seasonal_naive"": 3.0}",seasonal_naive,3.0,723.0,1.25,0.0,721.25,2.5,1.25,0.0,,False,3606.25,36872.1125,approximate_dp
24,2016-04-21,16.0,"{""exponential_smoothing"": 26.52948525360821, ""moving_average"": 26.428571428571427, ""naive_last_value"": 6.0, ""seasonal_naive"": 43.0}",naive_last_value,6.0,736.75,1.25,0.0,736.0,2.5,1.25,1.0,,False,3680.0,40552.1125,approximate_dp
25,2016-04-22,24.0,"{""exponential_smoothing"": 23.370639677525748, ""moving_average"": 27.0, ""naive_last_value"": 16.0, ""seasonal_naive"": 121.0}",naive_last_value,16.0,781.5,1.25,0.0,758.75,2.5,1.25,0.0,,False,3793.75,44345.8625,approximate_dp
26,2016-04-23,58.0,"{""exponential_smoothing"": 23.559447774268023, ""moving_average"": 27.857142857142858, ""naive_last_value"": 24.0, ""seasonal_naive"": 5.0}",seasonal_naive,5.0,771.25,1.25,0.0,815.5,2.5,1.25,1.0,,False,4077.5,48423.3625,approximate_dp
27,2016-04-24,42.0,"{""exponential_smoothing"": 33.891613441987616, ""moving_average"": 29.928571428571427, ""naive_last_value"": 58.0, ""seasonal_naive"": 0.0}",seasonal_naive,0.0,813.0,1.25,0.0,856.25,2.5,1.25,0.0,,False,4281.25,52704.6125,approximate_dp
