period,date,actual_demand,candidate_forecasts,selected_forecast_model,selected_forecast,desired_order,executed_order,inventory,backlog,on_order_pipeline,capacity,switch_event,rate_limit_activation,governance_binding,period_cost,cumulative_cost,policy
10,2012-10-12,110760.02,"{""exponential_smoothing"": 116429.21415193731, ""global_sklearn"": 113971.46381904872, ""moving_average_13"": 114673.13307692326, ""moving_average_4"": 114728.40750000131, ""naive_last_value"": 117713.63, ""seasonal_4_week"": 111668.96}",simple_ensemble,114864.13475798508,195992.96354621195,141480.60673076924,0.0,187905.6578365385,944383.0499278848,141480.60673076924,0.0,,False,939528.2891826925,5056398.217711539,simple
11,2012-10-19,116744.89,"{""exponential_smoothing"": 114728.4559063561, ""global_sklearn"": 115988.14212072272, ""moving_average_13"": 115392.78384615402, ""moving_average_4"": 114501.17250000131, ""naive_last_value"": 110760.02, ""seasonal_4_week"": 117354.13}",simple_ensemble,114787.45072887237,164658.9045825411,141480.60673076924,0.0,209151.13829326926,990364.2471153848,141480.60673076924,0.0,,False,1045755.6914663464,6102153.909177885,simple
12,2012-10-26,114734.96,"{""exponential_smoothing"": 115333.38613444928, ""global_sklearn"": 113855.84689412685, ""moving_average_13"": 115848.05538461554, ""moving_average_4"": 114348.86250000131, ""naive_last_value"": 116744.89, ""seasonal_4_week"": 112176.91}",simple_ensemble,114717.99181886551,139367.516571717,139367.516571717,0.0,182405.4915625,988251.1569563325,141480.60673076924,0.0,,False,912133.1123204527,7014287.021498338,simple
0,2012-08-03,111969.14,"{""exponential_smoothing"": 109281.83228627399, ""global_sklearn"": 111903.55299872698, ""moving_average_13"": 113184.4853846156, ""moving_average_4"": 108636.69750000132, ""naive_last_value"": 104899.47, ""seasonal_4_week"": 117416.4}",seasonal_4_week,117416.4,36692.00776598521,56592.24269230769,793506.7430769231,0.0,56592.24269230769,141480.60673076924,0.0,,False,796336.3552115385,796336.3552115385,approximate_dp
1,2012-08-10,114345.83,"{""exponential_smoothing"": 110088.02460039179, ""global_sklearn"": 107696.4540144916, ""moving_average_13"": 112915.22153846174, ""moving_average_4"": 107274.88250000132, ""naive_last_value"": 111969.14, ""seasonal_4_week"": 101404.56}",moving_average_13,112915.22153846174,56059.477381371544,56059.477381371544,679160.9130769231,0.0,112651.72007367923,141480.60673076924,1.0,,False,679187.6013424699,1475523.9565540084,approximate_dp
2,2012-08-17,119343.17,"{""exponential_smoothing"": 111365.36622027424, ""global_sklearn"": 110780.41010126013, ""moving_average_13"": 113148.44923076943, ""moving_average_4"": 110510.20000000132, ""naive_last_value"": 114345.83, ""seasonal_4_week"": 110826.36}",moving_average_4,110510.20000000132,95105.65769231657,84089.21607205732,559817.7430769231,0.0,196740.93614573654,141480.60673076924,1.0,,False,561219.2800114574,2036743.2365654658,approximate_dp
3,2012-08-24,116506.74,"{""exponential_smoothing"": 113758.70735419197, ""global_sklearn"": 111341.34492823275, ""moving_average_13"": 113867.5200000002, ""moving_average_4"": 112639.40250000132, ""naive_last_value"": 119343.17, ""seasonal_4_week"": 104899.47}",exponential_smoothing,113758.70735419197,156347.6704537844,126133.82410808597,443311.0030769231,0.0,322874.76025382255,141480.60673076924,1.0,,False,445413.2834787245,2482156.5200441903,approximate_dp
4,2012-08-31,132120.7,"{""exponential_smoothing"": 114583.11714793438, ""global_sklearn"": 114949.27924257386, ""moving_average_13"": 113568.97461538481, ""moving_average_4"": 115541.22000000131, ""naive_last_value"": 116506.74, ""seasonal_4_week"": 111969.14}",naive_last_value,116506.74,168704.84751216276,141480.60673076924,311190.30307692307,0.0,464355.3669845918,141480.60673076924,1.0,,False,311957.6922080572,2794114.2122522476,approximate_dp
5,2012-09-07,120421.13,"{""exponential_smoothing"": 119844.39200355407, ""global_sklearn"": 122371.88218788439, ""moving_average_13"": 114455.98615384634, ""moving_average_4"": 120579.11000000131, ""naive_last_value"": 132120.7, ""seasonal_4_week"": 114345.83}",exponential_smoothing,119844.39200355407,186046.15680982592,141480.60673076924,190769.17307692306,0.0,605835.9737153611,141480.60673076924,1.0,,False,190769.22307692305,2984883.435329171,approximate_dp
6,2012-09-14,111668.96,"{""exponential_smoothing"": 120017.41340248784, ""global_sklearn"": 121730.17649913975, ""moving_average_13"": 114661.28538461556, ""moving_average_4"": 122097.93500000131, ""naive_last_value"": 120421.13, ""seasonal_4_week"": 119343.17}",moving_average_4,122097.93500000131,183015.0240506346,141480.60673076924,79100.21307692306,0.0,747316.5804461304,141480.60673076924,1.0,,False,79100.26307692306,3063983.6984060938,approximate_dp
7,2012-09-21,117354.13,"{""exponential_smoothing"": 117512.87738174148, ""global_sklearn"": 116018.50393147852, ""moving_average_13"": 114414.72230769249, ""moving_average_4"": 120179.38250000132, ""naive_last_value"": 111668.96, ""seasonal_4_week"": 116506.74}",naive_last_value,111668.96,69771.57731985499,70740.30336538462,18338.325769230752,0.0,761464.6411192073,141480.60673076924,1.0,,False,21875.390937499982,3085859.089343594,approximate_dp
8,2012-09-28,112176.91,"{""exponential_smoothing"": 117465.25316721902, ""global_sklearn"": 123045.08378093531, ""moving_average_13"": 114865.17769230787, ""moving_average_4"": 120391.23000000132, ""naive_last_value"": 117354.13, ""seasonal_4_week"": 132120.7}",moving_average_13,114865.17769230787,141955.14549293346,106110.45504807692,0.0,37779.10684939771,811515.6187859125,141480.60673076924,1.0,,False,190664.09183112314,3276523.181174717,approximate_dp
9,2012-10-05,117713.63,"{""exponential_smoothing"": 115878.75021705331, ""global_sklearn"": 119178.89564753347, ""moving_average_13"": 114650.26923076941, ""moving_average_4"": 115405.28250000131, ""naive_last_value"": 112176.91, ""seasonal_4_week"": 120421.13}",naive_last_value,112176.91,126515.4589063935,126515.4589063935,0.0,71403.5207773404,853941.8616202488,141480.60673076924,1.0,,False,358037.9040796178,3634561.085254335,approximate_dp
10,2012-10-12,110760.02,"{""exponential_smoothing"": 116429.21415193731, ""global_sklearn"": 113971.46381904872, ""moving_average_13"": 114673.13307692326, ""moving_average_4"": 114728.40750000131, ""naive_last_value"": 117713.63, ""seasonal_4_week"": 111668.96}",seasonal_4_week,111668.96,113650.03000000014,113650.03000000014,0.0,56029.71666925443,841458.0675121628,141480.60673076924,1.0,,False,280791.90479159175,3915352.9900459265,approximate_dp
11,2012-10-19,116744.89,"{""exponential_smoothing"": 114728.4559063561, ""global_sklearn"": 115988.14212072272, ""moving_average_13"": 115392.78384615402, ""moving_average_4"": 114501.17250000131, ""naive_last_value"": 110760.02, ""seasonal_4_week"": 117354.13}",moving_average_13,115392.78384615402,140550.61076923204,140550.61076923204,0.0,31293.999938485184,840528.0715506257,141480.60673076924,1.0,,False,157815.0787308875,4073168.0687768143,approximate_dp
12,2012-10-26,114734.96,"{""exponential_smoothing"": 115333.38613444928, ""global_sklearn"": 113855.84689412685, ""moving_average_13"": 115848.05538461554, ""moving_average_4"": 114348.86250000131, ""naive_last_value"": 116744.89, ""seasonal_4_week"": 112176.91}",naive_last_value,116744.89,127561.73923076782,127561.73923076782,0.0,4548.353207715947,826609.2040506243,141480.60673076924,1.0,,False,23391.259615502946,4096559.328392317,approximate_dp
